	ID	KO	N_control	N_disease	AveExpr_control	AveExpr_disease	FC	P.Value
K16651	K16651	K16651: L-threonine kinase [EC:2.7.1.177]	72	14	3.43E-06	1.87E-05	5.455449341	0.007389206
K02315	K02315	K02315: DNA replication protein DnaC	72	14	0.00218321	0.001363767	0.624661294	0.007651411
K02407	K02407	K02407: flagellar hook-associated protein 2	72	14	0.000304971	0.000138584	0.45441881	0.007651411
K07576	K07576	K07576: metallo-beta-lactamase family protein	72	14	0.000349548	0.00021384	0.611762535	0.007651411
K00951	K00951	K00951: GTP pyrophosphokinase [EC:2.7.6.5]	72	14	0.000391528	0.000229521	0.586217531	0.007921925
K02065	K02065	K02065: phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein	72	14	0.000308159	0.000543854	1.76484685	0.007921925
K02770	K02770	"K02770: PTS system, fructose-specific IIC component"	72	14	0.000312483	0.000174714	0.55911463	0.007921925
K07090	K07090	K07090: NO_NAME	72	14	0.000656171	0.00037276	0.568083324	0.007921925
K03556	K03556	"K03556: LuxR family transcriptional regulator, maltose regulon positive"	72	14	3.06E-05	1.38E-05	0.451936412	0.007921925
K03497	K03497	"K03497: chromosome partitioning protein, ParB family"	72	14	0.002306955	0.001560764	0.676547474	0.007921925
K09121	K09121	K09121: hypothetical protein	72	14	0.000113335	8.57E-05	0.756325742	0.008060368
K04771	K04771	K04771: serine protease Do [EC:3.4.21.107]	72	14	0.00043044	0.000231311	0.537381573	0.008200973
K07742	K07742	K07742: hypothetical protein	72	14	0.000334862	0.000183439	0.547806128	0.008343769
K07124	K07124	K07124: NO_NAME	72	14	0.000347789	0.000189279	0.544235683	0.008488785
K06283	K06283	"K06283: putative DeoR family transcriptional regulator, stage III"	72	14	0.000153363	7.79E-05	0.508110539	0.008636052
K07284	K07284	K07284: sortase A	72	14	0.000547009	0.000273379	0.49977092	0.008785597
K06024	K06024	K06024: segregation and condensation protein B	72	14	0.000367679	0.000198168	0.538970183	0.008785597
K02103	K02103	"K02103: GntR family transcriptional regulator, arabinose operon"	72	14	0.000167599	7.92E-05	0.472461186	0.008785597
K00339	K00339	K00339: NADH-quinone oxidoreductase subunit J [EC:1.6.5.3]	72	14	0.000439303	0.000698614	1.590278872	0.008785597
K11189	K11189	K11189: phosphocarrier protein	72	14	0.001205262	0.00072368	0.600433601	0.008785597
K02426	K02426	K02426: cysteine desulfuration protein SufE	72	14	0.000341325	0.000579794	1.698655577	0.009091647
K03525	K03525	K03525: type III pantothenate kinase [EC:2.7.1.33]	72	14	0.000645309	0.000447679	0.693744011	0.009091647
K10907	K10907	K10907: aminotransferase	72	14	0.000441971	0.000238626	0.539913881	0.009091647
K05946	K05946	K05946: N-acetylglucosaminyldiphosphoundecaprenol	72	14	0.000255861	0.000131699	0.514730344	0.009091647
K09692	K09692	K09692: teichoic acid transport system permease protein	72	14	0.000112125	3.54E-05	0.316072875	0.009091647
K08591	K08591	K08591: glycerol-3-phosphate acyltransferase PlsY [EC:2.3.1.15]	72	14	0.000605937	0.000370283	0.611091914	0.009091647
K04762	K04762	K04762: ribosome-associated heat shock protein Hsp15	72	14	0.000169725	0.000269459	1.587617929	0.00940718
K07024	K07024	K07024: NO_NAME	72	14	0.002525509	0.001785534	0.706999562	0.00940718
K02025	K02025	K02025: multiple sugar transport system permease protein	72	14	0.000853029	0.000598336	0.7014257	0.00940718
K00700	K00700	"K00700: 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"	72	14	0.000462554	0.000253747	0.548577143	0.00940718
K00528	K00528	K00528: ferredoxin--NADP+ reductase	72	14	0.000437033	0.000267571	0.612243552	0.009732445
K03070	K03070	K03070: preprotein translocase subunit SecA	72	14	0.000196782	0.000106864	0.543057605	0.009732445
K15977	K15977	K15977: NO_NAME	72	14	0.000463659	0.000744536	1.605785029	0.009732445
K01215	K01215	"K01215: glucan 1,6-alpha-glucosidase"	72	14	0.000192769	9.17E-05	0.475443572	0.009898806
K06958	K06958	K06958: NO_NAME	72	14	0.000509013	0.000334466	0.657086711	0.010067696
K01089	K01089	K01089: imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15]	72	14	0.000163157	0.000279173	1.711074501	0.010067696
K02548	K02548	"K02548: 1,4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.74 2.5.1.-]"	72	14	0.000384688	0.000632543	1.644303184	0.010067696
K10117	K10117	K10117: raffinose/stachyose/melibiose transport system substrate-binding protein	72	14	0.00112776	0.00060572	0.537100521	0.010067696
K02769	K02769	"K02769: PTS system, fructose-specific IIB component [EC:2.7.1.202]"	72	14	0.000294325	0.00016817	0.5713737	0.010413193
K07085	K07085	K07085: NO_NAME	72	14	0.000570673	0.000958947	1.680379779	0.010413193
K02410	K02410	K02410: flagellar motor switch protein FliG	72	14	0.000202252	9.95E-05	0.492050263	0.010413193
K00989	K00989	K00989: ribonuclease PH	72	14	0.000161034	0.000321631	1.997291359	0.0107692
K06911	K06911	K06911: NO_NAME	72	14	0.000449773	0.000671237	1.492389324	0.0107692
K01673	K01673	K01673: carbonic anhydrase [EC:4.2.1.1]	72	14	0.00049124	0.000973814	1.982359746	0.0107692
K01537	K01537	K01537: Ca2+-transporting ATPase	72	14	0.000246579	4.84E-05	0.196271745	0.0107692
K02026	K02026	K02026: multiple sugar transport system permease protein	72	14	0.000918642	0.000652556	0.710347719	0.011135987
K01993	K01993	K01993: HlyD family secretion protein	72	14	0.000450062	0.000795898	1.768416781	0.011135987
K04488	K04488	K04488: nitrogen fixation protein NifU and related proteins	72	14	0.000607063	0.000375536	0.618611712	0.011135987
K03569	K03569	K03569: rod shape-determining protein MreB and related proteins	72	14	0.000978078	0.000663401	0.678270107	0.011135987
K12996	K12996	K12996: NO_NAME	72	14	4.55E-05	1.21E-05	0.266987406	0.011135987
K11645	K11645	"K11645: fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	72	14	0.000168211	0.000340192	2.022414455	0.011135987
K15635	K15635	"K15635: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"	72	14	0.000119356	4.28E-05	0.358906948	0.011323508
K03292	K03292	"K03292: glycoside/pentoside/hexuronide:cation symporter, GPH family"	72	14	0.001284322	0.00086477	0.673328234	0.011513828
K02400	K02400	K02400: flagellar biosynthesis protein FlhA	72	14	0.000155499	6.95E-05	0.447193361	0.011513828
K01958	K01958	K01958: pyruvate carboxylase [EC:6.4.1.1]	72	14	1.22E-05	1.08E-05	0.88065267	0.011513828
K02123	K02123	K02123: V/A-type H+/Na+-transporting ATPase subunit I	72	14	0.00015247	6.61E-05	0.433832859	0.011706981
K02408	K02408	K02408: flagellar hook-basal body complex protein FliE	72	14	0.00018317	8.59E-05	0.469082679	0.011903004
K06400	K06400	K06400: site-specific DNA recombinase	72	14	0.000352938	0.000275281	0.779970201	0.011903004
K00945	K00945	K00945: cytidylate kinase [EC:2.7.4.14]	72	14	0.000854358	0.000643395	0.753073677	0.011903004
K08166	K08166	"K08166: MFS transporter, DHA2 family, methylenomycin A resistance protein"	72	14	3.42E-06	8.65E-06	2.527443565	0.011903004
K02018	K02018	K02018: molybdate transport system permease protein	72	14	0.000365525	0.000221246	0.605282772	0.012303798
K04517	K04517	K04517: prephenate dehydrogenase [EC:1.3.1.12]	72	14	0.000433589	0.00024726	0.570264241	0.012303798
K00425	K00425	K00425: cytochrome d ubiquinol oxidase subunit I [EC:1.10.3.14]	72	14	0.000300796	0.00046511	1.546264464	0.012303798
K05833	K05833	K05833: putative ABC transport system ATP-binding protein	72	14	0.000606654	0.00034726	0.572419332	0.012303798
K03458	K03458	"K03458: nucleobase:cation symporter-2, NCS2 family"	72	14	0.00020367	9.12E-05	0.447599748	0.012303798
K12340	K12340	K12340: outer membrane protein	72	14	0.000278501	0.000500274	1.796307298	0.012716503
K01271	K01271	K01271: X-Pro dipeptidase	72	14	0.000192128	0.000379321	1.974311692	0.012716503
K02283	K02283	K02283: pilus assembly protein CpaF	72	14	0.00054337	0.000299294	0.550811698	0.012716503
K01989	K01989	K01989: putative ABC transport system substrate-binding protein	72	14	0.000620344	0.000350523	0.565045726	0.012716503
K07170	K07170	K07170: GAF domain-containing protein	72	14	0.000292684	0.000483181	1.650860852	0.012716503
K02017	K02017	K02017: molybdate transport system ATP-binding protein [EC:3.6.3.29]	72	14	0.000299318	0.000173815	0.580705589	0.012716503
K02343	K02343	K02343: DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	72	14	0.000463589	0.000318812	0.687705108	0.012716503
K07321	K07321	K07321: CO dehydrogenase maturation factor	72	14	0.000222197	8.16E-05	0.367256404	0.012716503
K04759	K04759	K04759: ferrous iron transport protein B	72	14	0.000462443	0.000260225	0.562717548	0.012716503
K18842	K18842	K18842: NO_NAME	72	14	3.14E-05	0.000125854	4.007139829	0.012716503
K07775	K07775	"K07775: two-component system, OmpR family, response regulator ResD"	72	14	7.18E-05	2.48E-05	0.344819694	0.013141413
K13292	K13292	K13292: NO_NAME	72	14	0.000447301	0.000283835	0.634550085	0.013141413
K09817	K09817	K09817: zinc transport system ATP-binding protein [EC:3.6.3.-]	72	14	0.000455812	0.000310113	0.680353103	0.013578831
K09772	K09772	K09772: hypothetical protein	72	14	0.000395264	0.00023267	0.588645454	0.013578831
K09917	K09917	K09917: hypothetical protein	72	14	4.10E-05	0.000125649	3.068177865	0.013802325
K01903	K01903	K01903: succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	72	14	0.000223282	0.000371531	1.663956649	0.014029061
K00882	K00882	K00882: 1-phosphofructokinase [EC:2.7.1.56]	72	14	0.000488821	0.000332559	0.680329432	0.014029061
K02335	K02335	K02335: DNA polymerase I [EC:2.7.7.7]	72	14	0.00027621	0.000182999	0.662536158	0.014029061
K03466	K03466	"K03466: DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family"	72	14	0.000427958	0.000240788	0.562644906	0.014029061
K06200	K06200	K06200: carbon starvation protein	72	14	0.000486989	0.000280922	0.576854323	0.014029061
K10010	K10010	K10010: cystine transport system ATP-binding protein [EC:3.6.3.-]	72	14	4.45E-05	1.78E-05	0.400394515	0.014492416
K06926	K06926	K06926: NO_NAME	72	14	0.000185493	0.000116242	0.626666671	0.014492416
K00797	K00797	K00797: spermidine synthase [EC:2.5.1.16]	72	14	0.000496733	0.000313594	0.631313877	0.014492416
K03431	K03431	K03431: phosphoglucosamine mutase [EC:5.4.2.10]	72	14	0.00071067	0.000464685	0.653868822	0.014492416
K00868	K00868	K00868: pyridoxine kinase [EC:2.7.1.35]	72	14	0.000654903	0.000449438	0.68626705	0.014969214
K02398	K02398	K02398: negative regulator of flagellin synthesis FlgM	72	14	0.00029398	0.000154257	0.524720837	0.015459778
K02422	K02422	K02422: flagellar protein FliS	72	14	0.000434234	0.000270937	0.623942314	0.015459778
K07729	K07729	K07729: putative transcriptional regulator	72	14	0.001273363	0.000737418	0.579110125	0.015459778
K03698	K03698	K03698: CMP-binding protein	72	14	0.000362097	0.00020646	0.570178842	0.015459778
K07736	K07736	K07736: CarD family transcriptional regulator	72	14	0.000284814	0.000156286	0.548730935	0.015459778
K02434	K02434	K02434: aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	72	14	0.000458299	0.000268572	0.586018687	0.015964435
K10439	K10439	K10439: ribose transport system substrate-binding protein	72	14	0.000782983	0.000492006	0.628373969	0.015964435
K03975	K03975	K03975: membrane-associated protein	72	14	0.000181328	0.000344652	1.900708152	0.015964435
K00974	K00974	K00974: tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	72	14	0.000427119	0.000279219	0.653726777	0.015964435
K03705	K03705	K03705: heat-inducible transcriptional repressor	72	14	0.000412476	0.000264058	0.640178455	0.01648352
K06987	K06987	K06987: NO_NAME	72	14	0.000125981	4.55E-05	0.361357855	0.017017372
K07301	K07301	K07301: NO_NAME	72	14	0.000580408	0.000388111	0.668687617	0.017017372
K00575	K00575	K00575: chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	72	14	0.00020878	0.000125087	0.599132788	0.017017372
K07138	K07138	K07138: NO_NAME	72	14	0.0002407	0.000160625	0.667322647	0.017017372
K07713	K07713	"K07713: two-component system, NtrC family, response regulator HydG"	72	14	0.000160583	0.000292348	1.820538234	0.018130763
K00626	K00626	K00626: acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	72	14	0.000468891	0.000313877	0.66940396	0.018130763
K02122	K02122	K02122: V/A-type H+/Na+-transporting ATPase subunit F	72	14	0.000243236	0.000130311	0.535738132	0.018130763
K01647	K01647	K01647: citrate synthase [EC:2.3.3.1]	72	14	0.001536564	0.001085591	0.706505023	0.018130763
K03427	K03427	K03427: type I restriction enzyme M protein	72	14	0.001241724	0.000889816	0.71659683	0.018130763
K02419	K02419	K02419: flagellar biosynthetic protein FliP	72	14	0.000198169	0.000112238	0.566377095	0.018130763
K09809	K09809	K09809: CDP-glycerol glycerophosphotransferase	72	14	1.85E-05	4.89E-06	0.263675	0.018130763
K02395	K02395	K02395: flagellar protein FlgJ	72	14	0.000173694	7.63E-05	0.43947562	0.018711008
K07027	K07027	K07027: NO_NAME	72	14	0.000225669	0.000139621	0.618697361	0.018711008
K03183	K03183	"K03183: demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"	72	14	0.000379991	0.000588326	1.548262958	0.018711008
K01678	K01678	K01678: fumarate hydratase subunit beta [EC:4.2.1.2]	72	14	0.000304527	0.000173439	0.569534401	0.018711008
K19310	K19310	K19310: bacitracin transport system permease protein	72	14	0.000209638	0.000115096	0.549022849	0.018711008
K02390	K02390	K02390: flagellar hook protein FlgE	72	14	0.000187964	9.94E-05	0.52906537	0.018711008
K01090	K01090	K01090: protein phosphatase	72	14	0.000227274	0.000132483	0.582918856	0.018711008
K01935	K01935	K01935: dethiobiotin synthetase [EC:6.3.3.3]	72	14	0.000346426	0.000504729	1.456963013	0.019007176
K00340	K00340	K00340: NADH-quinone oxidoreductase subunit K [EC:1.6.5.3]	72	14	0.000457972	0.000745464	1.627749858	0.019307434
K01784	K01784	K01784: UDP-glucose 4-epimerase [EC:5.1.3.2]	72	14	0.001035145	0.000713786	0.689551738	0.019307434
K02588	K02588	K02588: nitrogenase iron protein NifH [EC:1.18.6.1]	72	14	7.97E-05	3.21E-05	0.402008724	0.019307434
K06147	K06147	"K06147: ATP-binding cassette, subfamily B, bacterial"	72	14	0.004568363	0.002931915	0.641786828	0.019307434
K07814	K07814	K07814: putative two-component system response regulator	72	14	0.00010001	4.93E-05	0.492805618	0.019920407
K03274	K03274	K03274: ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]	72	14	0.000180727	0.000319596	1.768393171	0.019920407
K03647	K03647	K03647: protein involved in ribonucleotide reduction	72	14	6.25E-05	0.000156861	2.510527277	0.019920407
K11184	K11184	K11184: catabolite repression HPr-like protein	72	14	9.75E-05	4.37E-05	0.448335323	0.019920407
K09815	K09815	K09815: zinc transport system substrate-binding protein	72	14	0.000363264	0.000234601	0.645814682	0.020550302
K01805	K01805	K01805: xylose isomerase [EC:5.3.1.5]	72	14	0.000367417	0.000573159	1.5599694	0.020550302
K00003	K00003	K00003: homoserine dehydrogenase [EC:1.1.1.3]	72	14	0.000561884	0.000347868	0.619109891	0.020550302
K06373	K06373	K06373: spore maturation protein A	72	14	0.00011788	4.89E-05	0.414743136	0.020871712
K00059	K00059	K00059: 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	72	14	0.001810474	0.001388482	0.766916119	0.021197495
K14540	K14540	K14540: NO_NAME	72	14	0.000351316	0.000219879	0.625873119	0.021197495
K07657	K07657	"K07657: two-component system, OmpR family, phosphate regulon response regulator PhoB"	72	14	0.000131082	0.000245351	1.871741747	0.021197495
K06898	K06898	K06898: NO_NAME	72	14	0.000101878	6.77E-05	0.664408651	0.021197495
K10536	K10536	K10536: agmatine deiminase [EC:3.5.3.12]	72	14	0.000210577	0.000124936	0.59330483	0.021197495
K01890	K01890	K01890: phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	72	14	0.000317006	0.000186495	0.588300909	0.021197495
K12992	K12992	K12992: NO_NAME	72	14	4.77E-05	1.73E-05	0.362152098	0.021527699
K05601	K05601	K05601: hydroxylamine reductase [EC:1.7.99.1]	72	14	0.000641775	0.0005171	0.805733359	0.021862372
K03790	K03790	K03790: ribosomal-protein-alanine N-acetyltransferase	72	14	0.000382376	0.000230125	0.601828661	0.021862372
K04794	K04794	"K04794: peptidyl-tRNA hydrolase, PTH2 family"	72	14	7.52E-05	4.81E-05	0.63977264	0.021862372
K07007	K07007	K07007: NO_NAME	72	14	0.000477674	0.000301188	0.630530062	0.021862372
K03590	K03590	K03590: cell division protein FtsA	72	14	0.000292332	0.000457684	1.565630984	0.021862372
K09768	K09768	K09768: hypothetical protein	72	14	0.000484591	0.000313144	0.646203553	0.021862372
K09762	K09762	K09762: hypothetical protein	72	14	0.000329049	0.000194973	0.592533436	0.021862372
K00965	K00965	K00965: UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	72	14	0.000481199	0.000295808	0.614731584	0.021862372
K03484	K03484	"K03484: LacI family transcriptional regulator, sucrose operon repressor"	72	14	0.000431515	0.000234711	0.543923157	0.021862372
K11754	K11754	K11754: dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]	72	14	0.000507802	0.000354244	0.697602058	0.021862372
K16785	K16785	K16785: energy-coupling factor transport system permease protein	72	14	0.001355071	0.000876839	0.647079848	0.022545321
K01611	K01611	K01611: S-adenosylmethionine decarboxylase [EC:4.1.1.50]	72	14	0.000131762	0.000259737	1.971254988	0.022545321
K12952	K12952	K12952: NO_NAME	72	14	0.000247994	0.000135923	0.548091831	0.023246739
K13280	K13280	"K13280: signal peptidase, endoplasmic reticulum-type [EC:3.4.-.-]"	72	14	0.000143245	9.12E-05	0.636756991	0.023246739
K00849	K00849	K00849: galactokinase [EC:2.7.1.6]	72	14	0.000676497	0.000516526	0.763530507	0.023246739
K00973	K00973	K00973: glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	72	14	0.001101685	0.000801248	0.727293636	0.023246739
K03205	K03205	K03205: type IV secretion system protein VirD4	72	14	0.001844675	0.001133585	0.614517399	0.023246739
K00821	K00821	K00821: acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	72	14	0.000421327	0.000266083	0.631535388	0.023246739
K02226	K02226	K02226: alpha-ribazole phosphatase [EC:3.1.3.73]	72	14	0.000452255	0.000338248	0.747913486	0.023967027
K00330	K00330	K00330: NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]	72	14	0.000508559	0.000793103	1.559509004	0.023967027
K12452	K12452	"K12452: CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]"	72	14	2.64E-05	2.14E-05	0.81106902	0.023967027
